Time (s),Velocity
0.0,0.005007080392178058
1.0,-0.02967927444897253
2.0,0.137405009242344
3.0,-0.05832081202909987
4.0,0.13753472635094963
5.0,0.00022484298824979192
6.0,0.21021954620631506
7.0,0.1332281183452421
8.0,-0.12528078349133598
9.0,0.08799143867083203
10.0,0.03481607194975624
11.0,-0.08314866661622113
12.0,-0.034824719756996615
13.0,0.1075614264558043
14.0,0.08897728869623496
15.0,-0.23147585640316076
16.0,0.030993741149509778
17.0,0.08467068069052741
18.0,0.4265185009026149
19.0,0.2879719811045412
20.0,0.729209049930277
21.0,0.36301765233652944
22.0,0.5877136278632349
23.0,0.54534802019263
24.0,0.19262125847214864
25.0,0.5372796160373585
26.0,0.2629019879146894
27.0,0.5090272297830482
28.0,0.14244668086348355
29.0,0.29547827778918806
30.0,0.28762606881492614
31.0,0.19423839842609908
32.0,0.09207320368828979
33.0,0.25655449740025293
34.0,0.2943194716189776
35.0,0.19940113934860393
36.0,0.2722935065777384
37.0,0.25707336583467555
38.0,0.17125252678117805
39.0,0.25251597141899707
40.0,0.18116291387864963
41.0,0.3685003621269282
42.0,0.2715152039261045
43.0,0.31963160341155994
44.0,0.17924310067128604
45.0,0.18773524738133587
46.0,0.2833540520381801
47.0,0.2416283821033629
48.0,0.19076197991546767
49.0,0.12112118820871483
50.0,0.06516987536347815
51.0,0.11476504988703802
52.0,0.13384211265930882
53.0,0.14420218573328
54.0,0.1522273508523495
55.0,0.27345231274794884
56.0,0.2187462841453264
57.0,0.2081354246613843
58.0,0.2913013868920862
59.0,0.17626825498059648
60.0,0.19806937703358593
61.0,0.1654584959301257
62.0,0.24489725324022527
63.0,0.33722124333848597
64.0,0.22667632338475174
65.0,0.2996378730718092
66.0,0.11865656314520749
67.0,0.41237068825735873
68.0,0.18751040439308608
69.0,0.36824957571695727
70.0,0.33527548670940127
71.0,0.524385735441957
72.0,0.22250808029489022
73.0,0.5626695780951042
74.0,0.014926115296890032
75.0,0.011172966954566583
76.0,0.18496794906441535
77.0,0.10553783956155617
78.0,0.09190889535072264
79.0,0.45123393399561124
80.0,0.18054027175734252
81.0,0.5926255823757688
82.0,0.3953777470300187
83.0,0.25624317633959937
84.0,-0.1893869785642478
85.0,0.328564788290869
86.0,0.3932763298706072
87.0,0.5180123015057995
88.0,0.5812277724329524
89.0,0.4871915165010972
90.0,0.466774043606568
91.0,0.5363110616264364
92.0,0.7030840242570993
93.0,0.5969667816104379
94.0,0.5657827887016399
95.0,0.5936546714373737
96.0,0.5236593196337653
97.0,0.43988801089623714
98.0,0.626706590710093
99.0,0.5228291301386893
100.0,0.15208898593650347
101.0,0.4838621107135522
102.0,0.24328876109351522
103.0,0.49404057983547545
104.0,0.6547946686268363
105.0,0.440666313547871
106.0,0.22039801532823833
107.0,-0.11219665113664616
108.0,-0.41590764141867276
109.0,0.1105189765320131
110.0,0.3352581910949205
111.0,0.40631722318909513
112.0,0.392307775459685
113.0,0.4385389529667384
114.0,0.2612070176955756
115.0,0.4149909738511929
116.0,0.37675469413786766
117.0,0.39968867893934645
118.0,0.3049778940427418
119.0,0.46220800138364915
120.0,0.3215600644261639
121.0,0.32530024105762684
122.0,0.3853635862456626
123.0,0.31659622307018775
124.0,0.3937173680398664
125.0,0.187761190803057
126.0,0.38164502913230064
127.0,0.3137337988736231
128.0,0.30108638078457234
129.0,0.4324638683803738
130.0,0.23203796387378525
131.0,0.36410295214519667
132.0,0.23444637819023015
133.0,0.25556864737485
134.0,0.30821217395064265
135.0,0.34957895988498416
136.0,0.3128992854749268
137.0,0.19507291182479541
138.0,0.17185787328800442
139.0,0.13897891016009253
140.0,0.2582451437157466
141.0,0.22212757677631365
142.0,0.18386535364126733
143.0,0.1339199429244722
144.0,0.10159443945994444
145.0,0.1775265109340713
146.0,0.16583899944870228
147.0,0.0849733539439406
148.0,0.20757331719075983
149.0,0.10815812515539029
150.0,0.10049184403679642
151.0,0.15294079494968058
152.0,0.020179658195418823
153.0,0.11559956328573436
154.0,0.0780551081516393
155.0,0.02079797641310575
156.0,0.08880865645504761
157.0,0.002330584051281497
158.0,0.05786247824535991
159.0,0.11296198207741949
160.0,0.10763060891372732
161.0,0.05623236658054892
162.0,0.12236214854770887
163.0,0.15579457133900484
164.0,0.004929250127014669
165.0,0.04013879730620804
166.0,0.11049735701391215
167.0,0.11251229610091991
168.0,0.28043541709455294
169.0,0.11310034699326552
170.0,0.258301354462809
171.0,0.35508761309710407
172.0,0.10030591618112833
173.0,0.30159227750813433
174.0,0.09182674118193905
175.0,0.4583554032580614
176.0,-0.20031780691608383
177.0,-0.005456766368677642
178.0,0.2550108638078457
179.0,0.30140202574884606
180.0,0.48909403409398006
181.0,0.23611108108400264
182.0,0.5585229545233437
183.0,0.3293949777859452
184.0,0.6280556486395918
185.0,0.19601552281399648
186.0,0.49721864899631385
187.0,0.12945335048481768
188.0,0.023720935260353047
189.0,0.2273638240603617
190.0,0.08932320098585003
