bin_start,bin_end,Frequency
0.0,15.0,0.0
15.0,30.0,15.0
30.0,45.0,6.0
45.0,60.0,33.0
60.0,75.0,99.0
75.0,90.0,31.0
90.0,105.0,15.0
105.0,120.0,56.0
120.0,135.0,50.0
135.0,150.0,93.0
150.0,165.0,113.0
165.0,180.0,153.0
