bin_start,bin_end,Frequency
0.0,15.0,446.0
15.0,30.0,248.0
30.0,45.0,182.0
45.0,60.0,279.0
60.0,75.0,414.0
75.0,90.0,267.0
90.0,105.0,141.0
105.0,120.0,212.0
120.0,135.0,169.0
135.0,150.0,202.0
150.0,165.0,210.0
165.0,180.0,231.0
