bin_start,bin_end,Frequency
0.0,15.0,724.0
15.0,30.0,201.0
30.0,45.0,152.0
45.0,60.0,134.0
60.0,75.0,210.0
75.0,90.0,261.0
90.0,105.0,172.0
105.0,120.0,95.0
120.0,135.0,150.0
135.0,150.0,40.0
150.0,165.0,46.0
165.0,180.0,112.0
