bin_start,bin_end,Frequency
0.0,15.0,0.0
15.0,30.0,5.0
30.0,45.0,2.0
45.0,60.0,4.0
60.0,75.0,4.0
75.0,90.0,4.0
90.0,105.0,4.0
105.0,120.0,10.0
120.0,135.0,53.0
135.0,150.0,173.0
150.0,165.0,192.0
165.0,180.0,252.0
