bin_start,bin_end,Frequency
0.0,15.0,446.0
15.0,30.0,233.0
30.0,45.0,177.0
45.0,60.0,247.0
60.0,75.0,314.0
75.0,90.0,236.0
90.0,105.0,125.0
105.0,120.0,155.0
120.0,135.0,119.0
135.0,150.0,108.0
150.0,165.0,98.0
165.0,180.0,78.0
